touch_x, touch_y, sensor_type, time_since_1970, x, y, z
-2,-2 , GYRO, 1618580097.777 , 0.27522935779816515 , 0.24464831804281348 , -0.32619775739041795
-2,-2 , GYRO, 1618580097.759 , 0.4485219164118247 , 0.32619775739041795 , -0.6523955147808359
-2,-2 , GYRO, 1618580097.743 , 0.32619775739041795 , 0.14271151885830782 , -1.0499490316004076
-2,-2 , GYRO, 1618580097.726 , 0.21406727828746178 , -0.14271151885830782 , -1.3149847094801224
-2,-2 , GYRO, 1618580097.71 , 0.32619775739041795 , -0.5504587155963303 , -1.325178389398573
-2,-2 , GYRO, 1618580097.694 , 0.4994903160040775 , -1.1009174311926606 , -1.1213047910295617
-2,-2 , GYRO, 1618580097.676 , 0.47910295616717635 , -1.8552497451580023 , -0.5300713557594291
-2,-2 , GYRO, 1618580097.66 , 0.21406727828746178 , -1.9367991845056065 , -0.29561671763506625
-2,-2 , GYRO, 1618580097.643 , -0.16309887869520898 , -1.5800203873598369 , -0.32619775739041795
-2,-2 , GYRO, 1618580097.626 , -0.581039755351682 , -0.764525993883792 , -0.13251783893985727
-2,-2 , GYRO, 1618580097.609 , -1.0397553516819573 , 0.41794087665647295 , 0
-2,-2 , GYRO, 1618580097.593 , -1.3965341488277268 , 0.8562691131498471 , -0.12232415902140674
-2,-2 , GYRO, 1618580097.576 , -1.4678899082568808 , -0.42813455657492355 , -0.17329255861365953
-2,-2 , GYRO, 1618580097.56 , -1.488277268093782 , -3.527013251783895 , -0.17329255861365953
-2,-2 , GYRO, 1618580097.543 , -1.202854230377166 , -6.666666666666667 , -0.6422018348623854
-2,-2 , GYRO, 1618580097.527 , -0.7033639143730887 , -8.52191641182467 , -1.019367991845056
-2,-2 , GYRO, 1618580097.509 , -0.581039755351682 , -7.176350662589195 , -1.2538226299694188
-2,-2 , GYRO, 1618580097.493 , -0.9276248725790012 , -3.180428134556575 , -1.4984709480122325
-2,-2 , GYRO, 1618580097.476 , -1.6819571865443423 , 0.9785932721712539 , -1.946992864424057
-2,-2 , GYRO, 1618580097.459 , -2.579001019367992 , 3.058103975535168 , -2.477064220183486
-0.453704,0.327193, GYRO, 1618580097.443 , -2.7522935779816513 , 2.1916411824668707 , -2.7522935779816513
-0.453704,0.327193, GYRO, 1618580097.426 , -1.8552497451580023 , -0.7033639143730887 , -2.528032619775739
-0.453704,0.327193, GYRO, 1618580097.409 , -0.1529051987767584 , -3.863404689092762 , -1.0703363914373087
-0.453704,0.327193, GYRO, 1618580097.393 , 1.5188583078491338 , -6.258919469928643 , 0.5300713557594291
-0.453704,0.327193, GYRO, 1618580097.376 , 3.2517838939857286 , -4.984709480122324 , 1.5188583078491338
-0.453704,0.327193, GYRO, 1618580097.36 , 3.027522935779817 , 1.5392456676860347 , 2.8746177370030583
-0.453704,0.327193, GYRO, 1618580097.352 , 3.027522935779817 , 1.5392456676860347 , 2.8746177370030583
-2,-2 , GYRO, 1618580097.327 , 1.3659531090723749 , 5.025484199796127 , 1.1213047910295617
-2,-2 , GYRO, 1618580097.309 , 1.3863404689092762 , 4.862385321100917 , 0.3669724770642202
-2,-2 , GYRO, 1618580097.293 , 1.0499490316004076 , 6.931702344546381 , 0.254841997961264
-2,-2 , GYRO, 1618580097.277 , 0.6116207951070336 , 8.440366972477063 , -0.43832823649337416
-2,-2 , GYRO, 1618580097.259 , 0.14271151885830782 , 6.982670744138634 , -1.4475025484199797
-2,-2 , GYRO, 1618580097.243 , -0.28542303771661565 , 3.618756371049949 , -1.4984709480122325
-2,-2 , GYRO, 1618580097.227 , -0.254841997961264 , 1.5086646279306832 , -1.1416921508664626
-2,-2 , GYRO, 1618580097.21 , -0.5912334352701325 , 0.23445463812436287 , -1.09072375127421
-2,-2 , GYRO, 1618580097.194 , -0.9480122324159022 , -0.7951070336391437 , -1.416921508664628
-2,-2 , GYRO, 1618580097.176 , -1.233435270132518 , 0.21406727828746178 , -1.3149847094801224
-2,-2 , GYRO, 1618580097.159 , -1.8654434250764527 , 2.579001019367992 , -0.6422018348623854
-0.148148,0.535088, GYRO, 1618580097.143 , -2.262996941896024 , 4.138634046890927 , -0.13251783893985727
-0.148148,0.535088, GYRO, 1618580097.126 , -2.110091743119266 , 4.016309887869522 , -0.1834862385321101
-0.148148,0.535088, GYRO, 1618580097.109 , -1.99796126401631 , 1.82466870540265 , -0.8053007135575942
-0.148148,0.535088, GYRO, 1618580097.093 , -1.9571865443425078 , -0.9785932721712539 , -1.3149847094801224
-0.148148,0.535088, GYRO, 1618580097.076 , -1.6309887869520896 , -2.782874617737003 , -0.7543323139653416
-0.148148,0.535088, GYRO, 1618580097.06 , -0.38735983690112125 , -3.5474006116207955 , 0.42813455657492355
-0.148148,0.535088, GYRO, 1618580097.043 , 1.6921508664627931 , -3.6697247706422016 , 2.059123343527013
-0.148148,0.535088, GYRO, 1618580097.026 , 3.873598369011213 , 5.912334352701325 , 3.170234454638124
-0.148148,0.535088, GYRO, 1618580097.016 , 3.873598369011213 , 5.912334352701325 , 3.170234454638124
-2,-2 , GYRO, 1618580096.976 , 0.6320081549439347 , 7.471967380224262 , 1.5188583078491338
-2,-2 , GYRO, 1618580096.959 , -0.030581039755351685 , 5.270132517838941 , 0.3669724770642202
-2,-2 , GYRO, 1618580096.943 , -0.9276248725790012 , 3.2313965341488275 , 0.06116207951070337
-2,-2 , GYRO, 1618580096.926 , -1.2538226299694188 , 1.4576962283384303 , -0.3058103975535168
-2,-2 , GYRO, 1618580096.91 , -0.5300713557594291 , 0.43832823649337416 , -0.509683995922528
