touch_x, touch_y, sensor_type, time_since_1970, x, y, z
-2,-2 , ACCEL, 1618581316.561 , 0.010193679918450561 , -0.010193679918450561 , -0.0509683995922528
-2,-2 , ACCEL, 1618581316.544 , -0.010193679918450561 , 0 , -0.040774719673802244
-2,-2 , ACCEL, 1618581316.527 , -0.020387359836901122 , 0.010193679918450561 , -0.010193679918450561
-2,-2 , ACCEL, 1618581316.512 , -0.030581039755351685 , 0.020387359836901122 , 0.010193679918450561
-2,-2 , ACCEL, 1618581316.494 , -0.030581039755351685 , 0.020387359836901122 , 0.010193679918450561
-2,-2 , ACCEL, 1618581316.478 , -0.030581039755351685 , 0.030581039755351685 , 0.020387359836901122
-2,-2 , ACCEL, 1618581316.461 , -0.030581039755351685 , 0.040774719673802244 , 0.010193679918450561
-2,-2 , ACCEL, 1618581316.444 , -0.010193679918450561 , 0.040774719673802244 , 0
-2,-2 , ACCEL, 1618581316.427 , 0 , 0.030581039755351685 , 0.010193679918450561
-2,-2 , ACCEL, 1618581316.411 , 0 , 0.030581039755351685 , 0.020387359836901122
-2,-2 , ACCEL, 1618581316.394 , 0.010193679918450561 , 0.010193679918450561 , 0.030581039755351685
-2,-2 , ACCEL, 1618581316.377 , 0.010193679918450561 , 0.010193679918450561 , 0.030581039755351685
-2,-2 , ACCEL, 1618581316.361 , 0.020387359836901122 , 0 , 0.030581039755351685
-2,-2 , ACCEL, 1618581316.344 , 0.020387359836901122 , 0 , 0.030581039755351685
-2,-2 , ACCEL, 1618581316.328 , 0.020387359836901122 , -0.010193679918450561 , 0.020387359836901122
-2,-2 , ACCEL, 1618581316.311 , 0.010193679918450561 , -0.010193679918450561 , 0.010193679918450561
-2,-2 , ACCEL, 1618581316.294 , 0.010193679918450561 , -0.010193679918450561 , -0.010193679918450561
-2,-2 , ACCEL, 1618581316.277 , 0.020387359836901122 , 0 , -0.020387359836901122
-2,-2 , ACCEL, 1618581316.261 , 0.010193679918450561 , 0 , -0.010193679918450561
-2,-2 , ACCEL, 1618581316.244 , 0.010193679918450561 , 0 , -0.010193679918450561
-2,-2 , ACCEL, 1618581316.228 , -0.010193679918450561 , 0.010193679918450561 , -0.010193679918450561
-2,-2 , ACCEL, 1618581316.211 , -0.030581039755351685 , 0.010193679918450561 , -0.010193679918450561
-2,-2 , ACCEL, 1618581316.194 , -0.030581039755351685 , 0.010193679918450561 , -0.010193679918450561
-2,-2 , ACCEL, 1618581316.178 , -0.040774719673802244 , 0.010193679918450561 , 0
-2,-2 , ACCEL, 1618581316.161 , -0.0509683995922528 , 0.010193679918450561 , 0.010193679918450561
-2,-2 , ACCEL, 1618581316.144 , -0.040774719673802244 , 0.010193679918450561 , 0
-2,-2 , ACCEL, 1618581316.128 , -0.040774719673802244 , 0.010193679918450561 , 0
-2,-2 , ACCEL, 1618581316.111 , -0.020387359836901122 , 0.020387359836901122 , 0.020387359836901122
-2,-2 , ACCEL, 1618581316.094 , -0.010193679918450561 , 0.020387359836901122 , 0.0509683995922528
-2,-2 , ACCEL, 1618581316.077 , 0 , 0.020387359836901122 , 0.07135575942915393
-2,-2 , ACCEL, 1618581316.061 , 0 , 0.010193679918450561 , 0.0509683995922528
-2,-2 , ACCEL, 1618581316.044 , 0 , 0.010193679918450561 , -0.020387359836901122
-2,-2 , ACCEL, 1618581316.027 , 0 , 0 , -0.08154943934760449
-2,-2 , ACCEL, 1618581316.011 , 0.010193679918450561 , 0 , -0.08154943934760449
-2,-2 , ACCEL, 1618581315.994 , 0.010193679918450561 , 0 , -0.08154943934760449
-2,-2 , ACCEL, 1618581315.977 , 0.010193679918450561 , 0 , 0
-2,-2 , ACCEL, 1618581315.961 , 0 , 0 , 0.030581039755351685
-2,-2 , ACCEL, 1618581315.945 , -0.010193679918450561 , 0 , -0.030581039755351685
-2,-2 , ACCEL, 1618581315.927 , 0.020387359836901122 , 0.010193679918450561 , -0.18348623853211007
-2,-2 , ACCEL, 1618581315.911 , 0.030581039755351685 , 0.030581039755351685 , -0.22426095820591235
-2,-2 , ACCEL, 1618581315.894 , -0.010193679918450561 , 0.010193679918450561 , -0.1529051987767584
-2,-2 , ACCEL, 1618581315.877 , -0.010193679918450561 , 0.010193679918450561 , -0.1529051987767584
0.301852,0.303509, ACCEL, 1618581315.861 , -0.0509683995922528 , 0.030581039755351685 , 0.030581039755351685
0.301852,0.303509, ACCEL, 1618581315.844 , -0.040774719673802244 , -0.040774719673802244 , 0.09174311926605504
0.301852,0.303509, ACCEL, 1618581315.827 , 0.1019367991845056 , 0.020387359836901122 , 0.3058103975535168
0.301852,0.303509, ACCEL, 1618581315.814 , 0.13251783893985727 , -0.09174311926605504 , 0.14271151885830785
-2,-2 , ACCEL, 1618581315.794 , 0.010193679918450561 , 0.010193679918450561 , 0
-2,-2 , ACCEL, 1618581315.778 , 0 , 0.010193679918450561 , 0.030581039755351685
-2,-2 , ACCEL, 1618581315.761 , 0.010193679918450561 , 0.010193679918450561 , 0.010193679918450561
-2,-2 , ACCEL, 1618581315.744 , 0.010193679918450561 , 0.010193679918450561 , 0.010193679918450561
-2,-2 , ACCEL, 1618581315.727 , 0.010193679918450561 , 0.020387359836901122 , -0.07135575942915393
-2,-2 , ACCEL, 1618581315.711 , -0.010193679918450561 , 0.020387359836901122 , -0.1019367991845056
-2,-2 , ACCEL, 1618581315.694 , -0.010193679918450561 , 0.020387359836901122 , -0.040774719673802244
-2,-2 , ACCEL, 1618581315.677 , -0.010193679918450561 , 0.010193679918450561 , 0.11213047910295618
