touch_x, touch_y, sensor_type, time_since_1970, x, y, z
-2,-2 , GYRO, 1618581316.561 , -0.39755351681957185 , 0.4077471967380224 , -0.8256880733944956
-2,-2 , GYRO, 1618581316.544 , -0.6116207951070336 , 0.32619775739041795 , -0.7237512742099899
-2,-2 , GYRO, 1618581316.527 , -0.8562691131498471 , 0.22426095820591235 , -0.6931702344546381
-2,-2 , GYRO, 1618581316.512 , -0.6625891946992865 , 0.5300713557594291 , -0.46890927624872575
-2,-2 , GYRO, 1618581316.494 , -0.43832823649337416 , 0.4485219164118247 , -0.34658511722731905
-2,-2 , GYRO, 1618581316.478 , -0.43832823649337416 , 0.4485219164118247 , -0.34658511722731905
-2,-2 , GYRO, 1618581316.461 , -0.32619775739041795 , 0.254841997961264 , -0.13251783893985727
-2,-2 , GYRO, 1618581316.444 , -0.32619775739041795 , 0.254841997961264 , -0.13251783893985727
-2,-2 , GYRO, 1618581316.427 , -0.31600407747196735 , 0.7033639143730887 , 0.06116207951070337
-2,-2 , GYRO, 1618581316.411 , -0.31600407747196735 , 0.7033639143730887 , 0.06116207951070337
-2,-2 , GYRO, 1618581316.394 , -0.16309887869520898 , 0.46890927624872575 , 0.1529051987767584
-2,-2 , GYRO, 1618581316.377 , -0.16309887869520898 , 0.46890927624872575 , 0.1529051987767584
-2,-2 , GYRO, 1618581316.361 , -0.010193679918450561 , 0.06116207951070337 , -0.1019367991845056
-2,-2 , GYRO, 1618581316.344 , -0.010193679918450561 , 0.06116207951070337 , -0.1019367991845056
-2,-2 , GYRO, 1618581316.328 , 0.22426095820591235 , -0.16309887869520898 , -0.26503567787971455
-2,-2 , GYRO, 1618581316.311 , 0.22426095820591235 , -0.16309887869520898 , -0.26503567787971455
-2,-2 , GYRO, 1618581316.294 , 0.19367991845056062 , -0.23445463812436287 , -0.1834862385321101
-2,-2 , GYRO, 1618581316.277 , 0.14271151885830782 , -0.1529051987767584 , -0.14271151885830782
-2,-2 , GYRO, 1618581316.261 , -0.020387359836901122 , 0.13251783893985727 , -0.3058103975535168
-2,-2 , GYRO, 1618581316.244 , -0.020387359836901122 , 0.13251783893985727 , -0.3058103975535168
-2,-2 , GYRO, 1618581316.228 , 0 , -0.0509683995922528 , -0.27522935779816515
-2,-2 , GYRO, 1618581316.211 , -0.040774719673802244 , -0.2038735983690112 , -0.16309887869520898
-2,-2 , GYRO, 1618581316.194 , -0.09174311926605505 , -0.2038735983690112 , -0.0509683995922528
-2,-2 , GYRO, 1618581316.178 , -0.1529051987767584 , -0.0509683995922528 , 0.06116207951070337
-2,-2 , GYRO, 1618581316.161 , -0.14271151885830782 , 0.06116207951070337 , 0.1834862385321101
-2,-2 , GYRO, 1618581316.144 , -0.09174311926605505 , -0.39755351681957185 , 0.43832823649337416
-2,-2 , GYRO, 1618581316.128 , -0.09174311926605505 , -0.39755351681957185 , 0.43832823649337416
-2,-2 , GYRO, 1618581316.111 , -0.040774719673802244 , -0.6829765545361874 , 0.31600407747196735
-2,-2 , GYRO, 1618581316.094 , -0.040774719673802244 , -0.6829765545361874 , 0.31600407747196735
-2,-2 , GYRO, 1618581316.077 , 1.0805300713557595 , -0.07135575942915391 , 0.14271151885830782
-2,-2 , GYRO, 1618581316.061 , 1.0805300713557595 , -0.07135575942915391 , 0.14271151885830782
-2,-2 , GYRO, 1618581316.044 , 1.3149847094801224 , -0.1834862385321101 , 0.06116207951070337
-2,-2 , GYRO, 1618581316.027 , 1.3149847094801224 , -0.1834862385321101 , 0.06116207951070337
-2,-2 , GYRO, 1618581316.011 , -0.4077471967380224 , -1.8552497451580023 , -0.09174311926605505
-2,-2 , GYRO, 1618581315.994 , -0.4077471967380224 , -1.8552497451580023 , -0.09174311926605505
-2,-2 , GYRO, 1618581315.977 , 0.38735983690112125 , -0.6320081549439347 , -0.09174311926605505
-2,-2 , GYRO, 1618581315.961 , 0.38735983690112125 , -0.6320081549439347 , -0.09174311926605505
-2,-2 , GYRO, 1618581315.945 , 1.6106014271151885 , 2.3751274209989806 , 0.5198776758409787
-2,-2 , GYRO, 1618581315.927 , 1.6106014271151885 , 2.3751274209989806 , 0.5198776758409787
-2,-2 , GYRO, 1618581315.911 , -1.8960244648318043 , -1.6921508664627931 , -0.31600407747196735
-2,-2 , GYRO, 1618581315.894 , -1.8960244648318043 , -1.6921508664627931 , -0.31600407747196735
-2,-2 , GYRO, 1618581315.877 , -3.047910295616718 , -4.699286442405708 , -0.42813455657492355
0.301852,0.303509, GYRO, 1618581315.861 , -3.047910295616718 , -4.699286442405708 , -0.42813455657492355
0.301852,0.303509, GYRO, 1618581315.844 , -1.7125382262996942 , 0.0509683995922528 , 1.0091743119266052
0.301852,0.303509, GYRO, 1618581315.827 , -0.07135575942915391 , 4.0672782874617734 , 1.6207951070336388
0.301852,0.303509, GYRO, 1618581315.814 , 2.0998980632008153 , 6.442405708460754 , -0.030581039755351685
-2,-2 , GYRO, 1618581315.794 , 0.020387359836901122 , -1.0499490316004076 , -0.5402650356778798
-2,-2 , GYRO, 1618581315.778 , 0.020387359836901122 , -1.0499490316004076 , -0.5402650356778798
-2,-2 , GYRO, 1618581315.761 , 1.3353720693170235 , 0.9683995922528033 , -0.34658511722731905
-2,-2 , GYRO, 1618581315.744 , 1.3353720693170235 , 0.9683995922528033 , -0.34658511722731905
-2,-2 , GYRO, 1618581315.727 , 0.1019367991845056 , -0.9683995922528033 , -0.6422018348623854
-2,-2 , GYRO, 1618581315.711 , 0.1019367991845056 , -0.9683995922528033 , -0.6422018348623854
